"vendorid","tpep_pickup_datetime","tpep_dropoff_datetime","passenger_count","trip_distance","ratecodeid","store_and_fwd_flag","pulocationid","dolocationid","payment_type","fare_amount","extra","mta_tax","tip_amount","tolls_amount","improvement_surcharge","total_amount"
"2","2084-11-04T12:32:24.000","2084-11-04T12:47:41.000","1","1.34","1","N","238","236","2","10","0","0.5","0","0","0.3","10.8"
"2","2084-11-04T12:32:24.000","","1","1.34","1","N","238","236","2","10","0","0.5","0","0","0.3","10.8"
"2","2084-11-04T12:25:53.000","2084-11-04T12:29:00.000","1","0.32","1","N","238","238","2","4","0","0.5","0","0","0.3","4.8"
"2","2084-11-04T12:25:53.000","2084-11-04T12:29:00.000","1","0.32","1","N","238","238","2","4","0","0.5","0","0","0.3","4.8"
"2","","2084-11-04T12:22:24.000","1","1.85","1","N","236","238","2","10","0","0.5","0","0","0.3","10.8"
"2","2084-11-04T12:08:33.000","2084-11-04T12:22:24.000","1","","1","N","236","238","2","10","0","0.5","0","0","0.3","10.8"
"2","2084-11-04T11:41:35.000","2084-11-04T11:59:41.000","1","1.65","1","N","68","237","2","12.5","0","0.5","0","0","0.3","13.3"
"2","2084-11-04T11:41:35.000","2084-11-04T11:59:41.000","1","1.65","1","N","68","","2","12.5","0","0.5","0","0","0.3","13.3"
"2","2084-11-04T11:27:28.000","","1","1.07","1","N","170","68","2","9","0","0.5","0","0","0.3","9.8"
"2","2084-11-04T11:27:28.000","2084-11-04T11:39:52.000","1","1.07","1","N","170","68","2","9","0","0.5","0","0","0.3","9.8"
"2","2084-11-04T11:19:06.000","2084-11-04T11:26:44.000","1","1.30","1","N","107","170","2","7.5","0","0.5","0","0","","8.3"
"2","2084-11-04T11:19:06.000","2084-11-04T11:26:44.000","1","1.30","1","N","107","170","2","7.5","","0.5","0","0","0.3","8.3"
"2","2084-11-04T11:02:59.000","2084-11-04T11:15:51.000","","1.85","1","N","113","137","2","10","0","0.5","0","0","0.3","10.8"
"2","2084-11-04T11:02:59.000","2084-11-04T11:15:51.000","1","1.85","1","N","113","137","2","10","0","0.5","0","0","0.3","10.8"
"2","2084-11-04T10:46:05.000","2084-11-04T10:50:09.000","1","0.62","1","N","231","231","2","4.5","0","0.5","0","0","0.3","5.3"
"2","2084-11-04T10:46:05.000","2084-11-04T10:50:09.000","1","0.62","1","N","231","231","2","4.5","0","0.5","0","0","0.3","5.3"
"2","2053-07-11T13:25:33.000","2053-07-11T13:25:33.000","1","0.00","1","N","264","264","2","0","0","0","0","0","0","0"
"2","2042-12-04T08:51:43.000","2042-12-04T08:54:47.000","1","0.29","1","N","162","162","2","4","0","0.5","0","0","0.3","4.8"
"2","2042-12-04T08:51:43.000","2042-12-04T08:54:47.000","1","0.29","1","N","162","162","2","4","0","0.5","0","0","0.3","4.8"
"2","2041-06-25T20:46:37.000","2041-06-25T20:52:37.000","1","1.34","1","N","239","151","2","7","0.5","0.5","0","0","0.3","8.3"
"2","2037-11-17T21:24:28.000","2037-11-17T21:46:03.000","1","2.99","1","N","170","143","1","15","0.5","0.5","1.7","0","0.3","18"
"2","2037-11-17T21:24:28.000","2037-11-17T21:46:03.000","1","2.99","1","N","170","143","1","15","0.5","0.5","1.7","0","0.3","18"
"2","2032-02-02T00:39:23.000","2032-02-02T01:11:39.000","4","23.21","1","N","132","228","2","62","0.5","0.5","0","0","0.3","63.3"
"2","2031-02-13T17:36:35.000","2031-02-13T17:45:36.000","1","1.44","1","N","236","237","2","8","1","0.5","0","0","0.3","9.8"
"2","2031-02-13T17:21:28.000","2031-02-13T17:35:36.000","1","1.69","1","N","141","236","2","8","1","0.5","0","0","0.3","9.8"
"2","2029-05-06T20:43:14.000","2029-05-06T21:03:14.000","4","4.47","1","N","162","80","1","17.5","0.5","0.5","4.91","5.76","0.3","29.47"
"2","2029-05-05T23:22:18.000","2029-05-06T02:02:00.000","1","11.51","1","N","148","244","1","34.5","0.5","0.5","0","0","0.3","35.8"
"2","2026-02-13T11:53:54.000","2026-02-13T11:58:02.000","2","0.85","1","N","161","43","2","5","1","0.5","0","0","0.3","6.8"
"2","2026-02-13T11:06:18.000","2026-02-13T18:26:09.000","2","3.14","1","N","163","246","2","20","1","0.5","0","0","0.3","21.8"
"2","2021-09-13T12:19:52.000","2021-09-13T12:22:07.000","1","0.00","1","N","193","193","2","0","0","0","0","0","0","0"
"2","2020-12-10T20:34:26.000","2020-12-10T20:54:46.000","1","4.62","1","N","50","231","2","17.5","0.5","0.5","0","0","0.3","18.8"
"2","2020-12-10T20:23:43.000","2020-12-10T20:32:35.000","1","2.44","1","N","90","50","1","9","0.5","0.5","2.06","0","0.3","12.36"
"2","2020-08-01T00:20:58.000","2020-08-01T00:47:09.000","1","16.71","1","N","143","138","1","45.5","0","0.5","10.41","5.76","0.3","62.47"
"2","2020-08-01T00:07:04.000","2020-08-01T00:20:28.000","1","2.30","1","N","238","143","2","11","0","0.5","0","0","0.3","11.8"
"2","2020-03-05T18:44:16.000","2020-03-06T15:14:32.000","1","2.39","1","N","125","161","2","11","0","0.5","0","0","0.3","11.8"
"2","2020-03-05T18:44:16.000","2020-03-06T15:14:32.000","1","2.39","1","N","125","161","2","11","0","0.5","0","0","0.3","11.8"
"2","2020-03-05T18:33:57.000","2020-03-05T18:40:39.000","1","1.04","1","N","231","125","1","6.5","0","0.5","1.46","0","0.3","8.76"
"2","2020-03-05T18:33:57.000","2020-03-05T18:40:39.000","1","1.04","1","N","231","125","1","6.5","0","0.5","1.46","0","0.3","8.76"
"2","2020-03-05T18:13:12.000","2020-03-05T18:21:27.000","1","1.26","1","N","79","45","2","7.5","0","0.5","0","0","0.3","8.3"
"2","2020-03-05T18:13:12.000","2020-03-05T18:21:27.000","1","1.26","1","N","79","45","2","7.5","0","0.5","0","0","0.3","8.3"
"2","2020-03-05T18:06:06.000","2020-03-05T18:11:37.000","1","0.90","1","N","234","79","1","5.5","0","0.5","1.26","0","0.3","7.56"
"2","2020-03-05T18:06:06.000","2020-03-05T18:11:37.000","1","0.90","1","N","234","79","1","5.5","0","0.5","1.26","0","0.3","7.56"
"2","2020-03-05T18:01:50.000","2020-03-05T18:05:26.000","1","0.49","1","N","90","234","2","4.5","0","0.5","0","0","0.3","5.3"
"2","2020-03-05T18:01:50.000","2020-03-05T18:05:26.000","1","0.49","1","N","90","234","2","4.5","0","0.5","0","0","0.3","5.3"
"2","2020-03-05T17:34:30.000","2020-03-05T17:40:27.000","1","1.13","1","N","238","143","1","6.5","0","0.5","1.46","0","0.3","8.76"
"2","2020-03-05T17:34:30.000","2020-03-05T17:40:27.000","1","1.13","1","N","238","143","1","6.5","0","0.5","1.46","0","0.3","8.76"
"2","2019-11-21T04:51:09.000","2019-11-21T04:54:11.000","1","0.00","5","N","264","264","2","96","0","0","0","0","0.3","96.3"
"2","2019-11-21T03:48:17.000","2019-11-21T03:55:07.000","5","1.60","1","N","264","264","1","7.5","0.5","0.5","1.76","0","0.3","10.56"
"2","2019-11-21T03:32:56.000","2019-11-21T03:36:02.000","5","0.78","1","N","264","264","1","4.5","0.5","0.5","0","0","0.3","5.8"
"2","2019-11-21T02:58:53.000","2019-11-21T03:05:19.000","5","1.13","1","N","264","264","1","6.5","0.5","0.5","0","0","0.3","7.8"
"2","2019-11-21T01:53:19.000","2019-11-21T02:18:39.000","5","9.44","1","N","264","264","2","31","0.5","0.5","0","0","0.3","32.3"
"2","2019-11-20T22:10:22.000","2019-11-20T22:28:11.000","5","4.32","1","N","264","264","1","16","0.5","0.5","1.7","0","0.3","19"
"2","2019-09-09T11:33:53.000","2019-09-09T15:10:50.000","1","1.10","1","N","162","141","1","8","0","0.5","1.2","0","0.3","10"
"2","2019-09-09T11:33:53.000","2019-09-09T15:10:50.000","1","1.10","1","N","162","141","1","8","0","0.5","1.2","0","0.3","10"
"2","2019-09-09T11:07:13.000","2019-09-09T11:26:59.000","1","2.30","1","N","43","170","2","13.5","0","0.5","0","0","0.3","14.3"
"2","2019-09-09T11:07:13.000","2019-09-09T11:26:59.000","1","2.30","1","N","43","170","2","13.5","0","0.5","0","0","0.3","14.3"
"2","2019-09-09T10:42:03.000","2019-09-09T10:53:56.000","1","1.96","1","N","237","236","1","9.5","0","0.5","2.06","0","0.3","12.36"
"2","2019-09-09T10:42:03.000","2019-09-09T10:53:56.000","1","1.96","1","N","237","236","1","9.5","0","0.5","2.06","0","0.3","12.36"
"2","2019-09-09T10:19:44.000","2019-09-09T10:31:26.000","1","0.93","1","N","162","170","1","8.5","0","0.5","1","0","0.3","10.3"
"2","2019-09-09T10:19:44.000","2019-09-09T10:31:26.000","1","0.93","1","N","162","170","1","8.5","0","0.5","1","0","0.3","10.3"
"2","2019-09-09T09:44:31.000","2019-09-09T09:50:15.000","1","0.94","1","N","211","113","2","5.5","0","0.5","0","0","0.3","6.3"
"2","2019-09-09T09:44:31.000","2019-09-09T09:50:15.000","1","0.94","1","N","211","113","2","5.5","0","0.5","0","0","0.3","6.3"
"2","2019-06-28T19:07:53.000","2019-06-28T19:38:18.000","1","6.20","1","N","79","61","2","24","0.5","0.5","0","0","0.3","25.3"
"2","2019-06-28T18:48:49.000","2019-06-28T19:02:17.000","1","1.67","1","N","114","224","2","9.5","0.5","0.5","0","0","0.3","10.8"
"2","2019-06-28T18:31:15.000","2019-06-28T18:36:37.000","1","1.17","1","N","125","68","2","6","0.5","0.5","0","0","0.3","7.3"
"2","2019-06-28T18:02:30.000","2019-06-28T18:18:16.000","1","2.60","1","N","249","261","2","12","0.5","0.5","0","0","0.3","13.3"
"2","2019-06-28T17:20:53.000","2019-06-28T17:30:48.000","1","1.61","1","N","114","231","2","8.5","0.5","0.5","0","0","0.3","9.8"
"2","2019-06-28T17:06:17.000","2019-06-28T17:14:13.000","1","1.30","1","N","234","4","2","7.5","0.5","0.5","0","0","0.3","8.8"
"2","2019-06-28T16:33:22.000","2019-06-28T16:48:00.000","1","2.08","1","N","236","162","2","10.5","0.5","0.5","0","0","0.3","11.8"
"2","2019-06-28T15:51:20.000","2019-06-28T16:09:29.000","1","5.11","1","N","148","262","2","18","1","0.5","0","0","0.3","19.8"
"2","2019-06-28T14:54:47.000","2019-06-28T15:23:19.000","1","7.47","1","N","237","160","2","26.5","1","0.5","0","0","0.3","28.3"
"2","2019-06-28T14:35:53.000","2019-06-28T14:40:22.000","1","0.42","1","N","262","140","2","4.5","1","0.5","0","0","0.3","6.3"
"2","2019-06-28T14:21:03.000","2019-06-28T14:31:02.000","1","1.48","1","N","237","140","1","8","1","0.5","1.5","0","0.3","11.3"
"2","2019-06-28T13:42:27.000","2019-06-28T13:47:51.000","1","0.71","1","N","262","141","1","5.5","1","0.5","1","0","0.3","8.3"
"2","2019-06-28T13:26:09.000","2019-06-28T13:33:02.000","1","0.88","1","N","238","236","1","6.5","1","0.5","1","0","0.3","9.3"
"2","2019-06-28T13:09:08.000","2019-06-28T13:17:03.000","1","1.31","1","N","236","239","1","7.5","1","0.5","2.79","0","0.3","12.09"
"2","2019-06-28T13:00:08.000","2019-06-28T13:07:03.000","1","0.85","1","N","140","237","1","6.5","1","0.5","1","0","0.3","9.3"
"2","2019-05-10T08:16:22.000","2019-05-10T15:28:19.000","1","1.45","1","N","161","137","1","8.5","1","0.5","2.06","0","0.3","12.36"
"2","2019-05-10T07:55:57.000","2019-05-10T08:06:38.000","1","1.54","1","N","236","162","1","9","1","0.5","1.5","0","0.3","12.3"
"2","2019-05-10T07:30:30.000","2019-05-10T07:52:19.000","1","3.21","1","N","164","236","1","15.5","1","0.5","2","0","0.3","19.3"
"2","2019-05-07T01:21:01.000","2019-05-07T01:50:19.000","5","17.51","2","N","132","229","1","52","0","0.5","17.57","5.76","0.3","76.13"
"2","2019-05-05T01:32:40.000","2019-05-05T01:39:56.000","2","1.25","1","N","114","79","1","6.5","0.5","0.5","1.95","0","0.3","9.75"
"2","2019-05-05T01:10:26.000","2019-05-05T01:23:21.000","2","2.38","1","N","87","234","2","10.5","0.5","0.5","0","0","0.3","11.8"
"2","2019-04-28T17:07:42.000","2019-04-28T17:10:45.000","1","0.62","1","N","229","162","1","4.5","0.5","0.5","1.45","0","0.3","7.25"
"2","2019-04-19T00:05:57.000","2019-04-19T00:09:35.000","1","0.34","1","N","237","237","2","4","1","0.5","0","0","0.3","5.8"
"2","2019-04-13T17:53:44.000","2019-04-14T00:59:01.000","2","1.29","1","N","13","87","1","6","1","0.5","1.56","0","0.3","9.36"
"2","2019-04-13T17:34:44.000","2019-04-13T17:43:55.000","2","1.63","1","N","249","261","1","8","1","0.5","2.45","0","0.3","12.25"
"2","2019-04-13T17:14:27.000","2019-04-13T17:30:21.000","2","1.90","1","N","137","249","2","11","1","0.5","0","0","0.3","12.8"
"2","2019-04-13T17:05:15.000","2019-04-13T17:13:32.000","2","1.37","1","N","233","137","1","7.5","1","0.5","1.25","0","0.3","10.55"
"2","2019-04-07T09:49:57.000","2019-04-07T10:01:03.000","1","1.60","1","N","170","229","2","9","0.5","0.5","0","0","0.3","10.3"
"2","2019-04-07T09:37:57.000","2019-04-07T09:46:04.000","1","1.57","1","N","230","234","1","7.5","0.5","0.5","1.76","0","0.3","10.56"
"2","2019-04-07T09:29:33.000","2019-04-07T09:35:22.000","1","1.08","1","N","246","230","1","6","0.5","0.5","1.82","0","0.3","9.12"
"2","2019-04-07T09:14:15.000","2019-04-07T09:24:03.000","1","1.41","1","N","142","50","2","8","0.5","0.5","0","0","0.3","9.3"
"2","2019-03-25T09:37:07.000","2019-03-25T17:06:31.000","5","13.24","1","N","70","62","1","38","0.5","0.5","7.86","0","0.3","47.16"
"2","2019-03-24T12:02:19.000","2019-03-24T12:51:00.000","1","28.12","2","N","13","132","1","52","0","0.5","10","5.76","0.3","68.56"
"2","2019-03-23T09:36:59.000","2019-03-23T16:58:33.000","2","8.86","1","N","138","233","1","26.5","1","0.5","6.81","5.76","0.3","40.87"
"2","2019-03-21T16:24:52.000","2019-03-21T16:47:01.000","5","4.49","1","N","236","113","1","18","0.5","0.5","3.86","0","0.3","23.16"
"2","2019-03-21T16:10:59.000","2019-03-21T16:19:22.000","5","1.95","1","N","236","75","2","8.5","0.5","0.5","0","0","0.3","9.8"
"2","2019-03-17T01:38:09.000","2019-03-17T02:00:03.000","1","4.24","1","N","170","238","1","17.5","0.5","0.5","4.7","0","0.3","23.5"
"2","2019-03-17T01:26:07.000","2019-03-17T01:30:28.000","1","0.70","1","N","113","234","2","5","0.5","0.5","0","0","0.3","6.3"